;0
1496;COc1cc2c(cc1OC)C(=O)C1(C2)C(c2ccccc2)CN(C)C12C(=O)Nc1ccc([N+](=O)[O-])cc12
1497;COc1cc2c(cc1OC)C(=O)C1(C2)C(c2ccc(F)cc2)C(c2ccccc2)NC12C(=O)Nc1ccccc12
1498;C[C@H]1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OCC[N+](C)(C)C)[C@@H]2CC[C@]1(Cl)C3
1499;CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc12
1500;O=C(NN=Cc1c(O)[nH]c(=S)[nH]c1=O)Nc1ccccc1
1501;CCN(CC)C(=O)Oc1ccc(/C=C/C(=O)N2CCc3ccccc3C2)cc1OC
1502;CCNc1c2c(nc3ccc(OC)cc13)CCCC2
1503;COc1cccc2cc(CNCCCCCCNc3c4c(nc5ccccc35)CCC4)oc12
1504;COc1cccc2cc(CNCCCCCCNc3c4c(nc5ccccc35)CCCC4)oc12
1505;CCOP1(=O)CCCC(C(=O)OC)=C(C)O1
1506;COC(=O)C1=C(C)OP(=O)(OC)OCC1
1507;Cc1cc2ccc(OCc3ccc(CN(C)Cc4ccccc4)cc3)cc2oc1=O
1508;Cc1cc(=O)oc2cc(OCc3ccc(CN(C)Cc4ccc(C#N)cc4)cc3)ccc12
1509;Cc1cc(=O)oc2cc(CNCCC3CCN(Cc4ccccc4)CC3)ccc12
1510;COc1ccc(C2c3ccc4ccccc4c3Oc3nc4c(c(N)c32)CCCC4)c(OC)c1
1511;O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCCC2)c1cc2ccccc2o1
1512;COc1cccc2cc(CNCCCCCCCNc3c4c(nc5ccccc35)CCCCC4)oc12
1513;COc1ccc(-c2cc(=O)c3ccc(OCCN4CCOCC4)cc3o2)cc1
1514;CN(C)c1ccccc1CNCCCCCCCCNc1c2c(nc3ccccc13)CCCC2
1515;COc1cc2[se]n(-c3ccc(CN4CCCC4)cc3)c(=O)c2cc1OC
1516;CN1CCC(C(=O)N2C/C(=C\c3cccc([N+](=O)[O-])c3)C(=O)[C@@]3(C2)[C@H](c2cccc([N+](=O)[O-])c2)CN(C)[C@]32C(=O)Nc3ccccc32)[C@@]12C(=O)Nc1ccccc12
1517;CCCCN(CCC1CCCCCC1)Cc1cc2ccccc2cc1O
1518;CCCCN(CCC1CCCCCC1)Cc1ccc(OC(=O)N(C)C)c2ccccc12
1519;O=C(Cn1nc2ncccc2c1NC(=O)Cn1nc2ncccc2c1NC(=O)CN1CCN(Cc2ccccc2)CC1)Nc1[nH]nc2ncccc12
1520;O=C(Cc1ccccc1)N1c2ccccc2Sc2ccccc21
1521;O=C1CC2CCc3ccsc3C2=NN1CCCCN1CCN(Cc2cccc3c2ccn3S(=O)(=O)c2ccccc2)CC1
1522;O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2c(cn1)[nH]c1ccccc12
1523;CCc1nc(C(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc2c1[nH]c1ccccc12
1524;O=C1C(=CC2CCN(Cc3ccccc3)CC2)Cc2cc(O)ccc21
1525;COc1cc2c(cc1OC)C(=O)C(Oc1ccc(CN3CCCC3)cc1)C2
1526;c1ccc2[nH]c(N3CCCCC3)nc2c1
1527;CN(C)CCCN(c1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1
1528;CN(C)CCSC(=NO)C(=O)c1ccc(Br)cc1
1529;COc1ccc([N+](=O)[O-])c[n+]1C
1530;Nc1c2c(nc3cccc(F)c13)OCCC2
1531;COc1cc2cc(C(=O)C=C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
1532;Nc1c2c(nc3ncccc13)CCCC2
1533;CCCNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-]
1534;CCN(C)C(=O)Oc1cccc2c1CCC2N
1535;O=C(c1cnn(C2CCCC2)c1)C(F)F
1536;CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCCCCCCNc3c4c(nc5ccc(Cl)cc35)CCCC4)cc12
1537;CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(-c2ccccc2)cc1
1538;CC(=O)N1N=C(c2ccc3c(c2)OCO3)CC1c1ccc(-c2ccccc2)cc1
1539;COc1cc2cc(C(=O)CCc3cc[n+](CC4CC4)cc3)sc2cc1OC
1540;CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CC1
1541;CC(=O)N(C)[C@@H](C)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC[C@H]4[C@]5(C)CSC(C(C)C)=N[C@H]5CC[C@@]45C[C@@]35C(=O)C[C@]12C
1542;CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)C(=O)OC(C)(C)C)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1
1543;COc1ccccc1CN(C)[C@@H](C)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC[C@H]4[C@]5(C)CSC(C(C)C)=N[C@H]5CC[C@@]45C[C@@]35C(=O)C[C@]12C
1544;C[C@@H](Cc1ccccc1)NC(=O)Oc1cccc([C@H](C)N(C)C)c1
1545;C[C@@H](c1cccc(OC(=O)N(C)[C@@H](C)Cc2ccccc2)c1)N(C)C
1546;COc1ccc(C(=O)Cc2ncc(C(=O)Nc3ccncc3)cn2)cc1
1547;COc1ccc(OCCCN(C)C(=O)c2cnc(CC(=O)c3ccc(OC)cc3)nc2)cc1
1548;CCN(CC)CCCCCOc1ccc(C(=O)c2ccc(CN(C)Cc3ccccc3)cc2)cc1
1549;O=C1C=C(NCCCNCc2ccc(-c3nc4ccccc4s3)cc2)C(=O)C=C1NCCCNCc1ccc(-c2nc3ccccc3s2)cc1
1550;CN(Cc1ccccc1)Cc1ccc(C(=O)NCCc2c[nH]c3cc(F)ccc23)cc1
1551;COc1cc2c(cc1OC)C(c1ccccc1)N(CCCCCc1ccc(O)c(C=NO)n1)CC2
1552;COC(=O)C1C(C)=Nc2nc3c(c(N)c2C1c1cccc([N+](=O)[O-])c1)CC(C)(C)CC3
1553;C#CCOC(=O)C1C(C)=Nc2nc3c(c(N)c2C1c1cccc([N+](=O)[O-])c1)CC(C)(C)CC3
1554;Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2
1555;CC1(c2nccc3cc4c(cc23)OCO4)OC(O)c2c1ccc1c2OCO1
1556;COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2cccnc2)CC1
1557;COc1cc(/C=C/C(=O)Nc2ccccc2)ccc1OCCCCCCN1CCCCC1
1558;CC[n+]1cc(C(=O)NC)cc2c(OC(=O)N(C)C)cccc21
1559;CC(C)N(CCSC(=NO)C(=O)c1ccc(Cl)cc1)C(C)C
1560;C[n+]1ccccc1C=NO
1561;c1ccc2[nH]c(-c3ccc(OCCN4CCCCC4)cc3)nc2c1
1562;c1ccc2[nH]c(-c3ccc(OCCN4CCCC4)cc3)nc2c1
1563;ON=C(O)c1ccc(Nc2c3ccccc3nc3ccc(F)cc23)cc1
1564;CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C3=C(O[C@@H](C(C)(C)O)[C@@H]3O)[C@@]1(C(=O)C(C)C)C2=O
1565;C=C(C)[C@@H](O)CC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C3=C(O[C@H](C(C)(C)O)C3)[C@@]1(C(=O)C(C)C)C2=O
1566;CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C(=O)C1=C2O[C@H](C(C)(C)O)[C@H]1O
1567;COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccc([N+](=O)[O-])o4)CC3)sc2cc1OC
1568;O=C(N/N=C/c1ccc(OC(F)(F)F)cc1)N1CCN(c2ccccn2)CC1
1569;O=C(N/N=C/c1ccc(F)cc1F)N1CCN(c2ccccn2)CC1
1570;COc1cc2c(cc1O)C(=O)C(C)C2
1571;CCN(CC)CCSC(=NO)c1nc(C(C)(C)C)no1
1572;CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccco2)=CC1=O)Cc1ccco1
1573;CCN(CCCCOc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1OC
1574;COCC[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1
1575;COc1cc2cc(C(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
1576;COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1cccc([N+](=O)[O-])c1
1577;Cc1ccc2[nH]c3c(c2c1)CN(CCCCCCCN1CCc2[nH]c4ccc(C)cc4c2C1)CC3
1578;O=C(C[n+]1ccc(C=NO)cc1)Nc1nc(-c2ccccc2)cs1
1579;COc1ccc(-c2csc(NC(=O)C[n+]3ccc(C=NO)cc3)n2)cc1
1580;COc1cccc(CN(C)CCOc2ccc3c(c2)oc(=O)c2ccccc23)c1
1581;O=c1oc2cc(OCCCCN3CCC(Cc4ccccc4)CC3)ccc2c2c1CCCC2
1582;CN(CCCOc1ccc2c3c(c(=O)oc2c1)CCCC3)Cc1ccccc1
1583;C=[N+]1N=C(CCC2CCN(Cc3ccccc3)CC2)c2ccccc21
1584;CCN(CC)CCSC(=NO)C(=O)c1ccc(OC)cc1
1585;COc1cccc2nc3c(c(N)c12)CCCC3
1586;c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CC4)CC2)cc1
1587;O=C(Cc1ccccc1)N1c2ccccc2[Se]c2ccccc21
1588;C=CCC1(OC)OCc2c(OC)c(OC)cc3ccnc1c23
1589;CC[N+](C)(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCC[N+](C)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl
1590;Cc1ccccc1CN1CCC(C)CC1
1591;CN1CCC(CCN2C(=O)c3ccccc3C2=O)CC1
1592;COc1cc2cc(C(=O)C3CCC[N+](C)(CC4CCCCO4)CC3)sc2cc1OC
1593;c1ccc2c(c1)CN1Cc3cc(OCCCN4CCCCC4)ccc3N=C21
1594;CN(C)Cc1ccc(CSCCN=CC(NCCSCc2ccc(CN(C)C)o2)=[N+]([O-])O)o1
1595;Cc1cccc(F)c1
1596;COc1ccc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc(=O)c2c1
1597;CN(CCCOc1ccc2c(=O)c3cccnc3oc2c1)Cc1cccc(OC(=O)NCCCCCc2ccccc2)c1
1598;COc1cc2cc(NC(=O)CCCNCc3ccccc3)c(=O)oc2cc1OC
1599;C#CCCCCCCCCCN(C)C(=O)Oc1cccc2c(CN(C)CCC3CCCCCC3)c[nH]c12
1600;CN(CCC1CCCCCC1)Cc1c[nH]c2c(OC(=O)N(C)C)cccc12
1601;CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CO[C@@H](C2)O3)cc1
1602;O=C(Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1)c1ccccc1
1603;CCCCCCOC(=O)C(CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)Cc1cc2ccc(Cl)cc2s1
1604;CCCCCCOC(=O)C(CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1ccccc1
1605;CC(=O)N(CCC1CCN(Cc2ccccc2)CC1)c1ccc(F)cc1
1606;O=C(Nc1cccc2c1C(=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O)c1ccccc1
1607;COc1ccc(/C=N/NC(=O)CN2CCC(Cc3ccccc3)CC2)cc1
1608;CN1CCN(c2cccc(-c3cnc4[nH]c5cnc(C#N)cc5c4c3)c2)CC1
1609;OCCCCCCCCc1ccc(CN2CCCCC2)c(O)c1
1610;CCN(CCCOc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1OC
1611;COc1cc2oc(-c3ccc(OCCCCN(C)Cc4ccccc4)cc3)cc(=O)c2c(OC)c1OC
1612;CCN(CCCCOc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1OC
1613;Cc1ccc(-c2csc(NC(=O)C[n+]3ccc(C=NO)cc3)n2)cc1
1614;Nc1c2c(nc3c1C(c1ccc4c(c1)OCO4)NC(=S)N3)CCCC2
1615;CN(C)c1ccc(C2NC(=S)Nc3nc4c(c(N)c32)CCCC4)cc1
1616;C=C[C@@H]1[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2
1617;COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3ccccc3)cc1)C2
1618;COc1cc2oc(-c3cccc(OCC(=O)NCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3)cc(=O)c2c(OC)c1OC
1619;COc1cc2oc(-c3ccc(OCC(=O)NCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)cc3)cc(=O)c2c(OC)c1OC
1620;CCN(CC)CCCOc1ccc2nc3n(c(=O)c2c1)CCc1ccccc1-3
1621;COc1cc(/C=C/C(=O)Nc2ccccc2)ccc1OCCCCCCN(C)C
1622;COc1cc2c(cc1OC)SC(C(=O)CC(O)C1CC[N+](C)(Cc3ccccc3)CC1)C2
1623;COc1cc(/C=C/C(=O)Nc2ccccc2)ccc1OCCCCCCCCCCN1CCCCC1
1624;COc1cc(/C=C/C(=O)Nc2ccccc2)ccc1OCCCCN1CCCC1
1625;COc1cc(/C=C/C(=O)Nc2ccccc2)ccc1OCCCCCCN1CCCC1
1626;c1ccc(CNc2c3c(nc4ccccc24)CCCC3)nc1
1627;O=C(CCN1CCN(c2ccccc2)CC1)Nc1[nH]nc2ncccc12
1628;CO[C@]1(c2cn(O)c(=O)c(C(=O)C3[C@H](C)C=C[C@@H]4C[C@H](C)CC[C@@H]34)c2O)CC[C@@H](O)[C@H]2O[C@H]21
1629;CN=C(NCCNCc1ccc(CN2CCCC2)o1)C(C#N)C#N
1630;COc1cc2oc(-c3ccc(CN4CCCC4)cc3)cc(=O)c2cc1OC
1631;CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)Cc6cccc(C(F)(F)F)c6)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1
1632;c1cc(C[n+]2ccc(N3CCCCC3)cc2)ccc1C[n+]1ccc(N2CCCCC2)cc1
1633;Cc1ccc2nc3c(c(NCCN4CCCCC4)c2c1)CCCC3
1634;COc1cc(/C=C2\Oc3cc(OCCN4CCCC4)ccc3C2=O)cc(OC)c1OC
1635;COC(=O)C[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1
1636;CN1CCN(Cc2ccc(CNCCN3CCN=C3C(C#N)C#N)o2)CC1
1637;COc1ccccc1CN(C)Cc1ccc(-c2cc3cc(OC)c(OC)cc3oc2=O)cc1
1638;COc1cc2cc(-c3ccc(CN(C)Cc4ccc(C)cc4)cc3)c(=O)oc2cc1OC
1639;COc1cc2cc(-c3ccc(CN(C)Cc4ccccc4C)cc3)c(=O)oc2cc1OC
1640;CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2cccs2)=CC1=O)Cc1cccs1
1641;O=C(/C=C/c1ccc(OCCCCCCN2CCCC2)cc1)c1ccc(OCCCCCCN2CCCC2)cc1O
1642;ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1
1643;Cc1ccc(-c2noc(-c3cccc(OCC4CCN(Cc5ccccc5Cl)CC4)c3)n2)cn1
1644;COC(=O)c1cc(C(=O)c2ccc(OC)cc2)n2ccc(CCCc3cc[n+](C)cc3)cc12
1645;CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccc2)=CC1=O)Cc1ccccc1
1646;O=C(N/N=C/c1ccc(Br)cc1)N1CCN(c2ccccn2)CC1
1647;Oc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)c(O)c1
1648;O=[N+]([O-])c1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1
1649;FC(F)(F)c1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1
1650;Nc1c2c(nc3ccc(Cl)cc13)C1CCC2C1
1651;CCN(CC)Cc1ccc(/C=C2\Cc3cc(OC)c(OC)cc3C2=O)cc1
1652;CCN(CC)Cc1ccc(/C=C2\Cc3ccccc3C2=O)cc1
1653;CC1Cc2nc3nc(-c4ccccc4)cc(C(F)(F)F)c3c(N)c2C1
1654;Nc1cc(-c2ccc(F)cc2)nc2nc(-c3ccccc3)cc(C(F)(F)F)c12
1655;CCOC(=O)C1C(C)=Nc2nc3c(c(N)c2[C@@H]1c1ccccc1OC)CCCC3
1656;CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1cccs1)CCC3
1657;CCOC(=O)C1=C(C)Oc2nc3c(c(N)c2[C@H]1c1ccncc1)CCC3
1658;CC1(C)CC(=O)C2C(=Nc3nc4c(c(N)c3C2c2ccccc2)CCCC4)C1
1659;CCCC(=O)OCC[N+](C)(C)C
1660;O=c1cc(-c2ccc(O)cc2)oc2ccccc12
1661;O=C1CCc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1
1662;O=c1cc2cc3o[nH]c(CCC4CCN(Cc5ccccc5)CC4)c3cc2[nH]1
1663;COc1cc2cc(C(=O)C3CC[N+](C)(Cc4ccccc4)CCC3O)sc2cc1OC
1664;COc1cc2cc(C(=O)C3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
1665;CN(C)Cc1ccc(CSCc2ccccc2CSCc2ccc(CN(C)C)o2)o1
1666;CCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
1667;C/C(=C\C(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)C([C@H](C)N(C)C)=CC[C@@H]32)C1)C(C)C
1668;Cc1ccc([N+](=O)[O-])cc1
1669;Cc1ccccc1NC(=O)Oc1ccc2c(c1)C1(C)COC(C1)O2
1670;COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](Cc3coc([N+](=O)[O-])c3)cc1)C2
1671;c1ccc(CN2CCC(CCc3noc4ccccc34)CC2)cc1
1672;C/C=C1\[C@H]2C=C(C)C[C@]1(NC1OCC3=C4CC(C)(C)[C@H](O)[C@H]4[C@@H](C)CCC31O)c1ccc(=O)[nH]c1C2
1673;CC1CCCCN1CCCN1CC(=O)N(CCc2ccc(F)cc2)CC1=O
1674;COc1cc(-c2nnc(Nc3ncccn3)o2)cc(OC)c1OC
1675;CN(C)Cc1ccc(CSCCNc2cc(NCc3ccccn3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1
1676;C#CCNC1CCc2ccc(OC(=O)N(C)C)cc21
1677;CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2
1678;CC1=CC2Cc3nc4ccccc4c(NCCCCCCCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3C(C1)C2
1679;CCCCCCCNC(=O)Oc1ccc2c(c1)[C@@H]1CCN(CCC)C1C2
1680;COc1ccc2c(c1)Cc1c-2nc2ccccc2c1N
1681;Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
1682;CC[N+]1(Cc2ccccc2[N+](=O)[O-])CCCCCn2c(C)c3c(=O)n(c2=O)CCCCC[N+](CC)(Cc2ccccc2[N+](=O)[O-])CCCCCn2c(C)c(c(=O)n(c2=O)CCCCC1)C3
1683;Cc1ccc(S(=O)(=O)SCc2ccc(C#N)cc2)cc1
1684;Cc1ccc(S(=O)(=O)SCc2ccc(F)cc2)cc1
1685;COc1ccc2oc(-c3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c2c1
1686;COc1cc2cc(-c3ccc(CN(C)Cc4ccccc4[N+](=O)[O-])cc3)c(=O)oc2cc1OC
1687;O=C(c1ccc(CN2CCC(CCO)CC2)cc1)c1ccc(O)c(F)c1
1688;CN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc(O)c(F)c2)cc1
1689;COc1c(C(=O)CCC2CCN(CC3CCCCC3)CC2)cc(Cl)c2[nH]ccc12
1690;CC[C@H]1[C@@H]2OC(=O)[C@@](C)(O)[C@@H]2[C@@]23CC[C@@H]([C@@H]4CC(C)C(=O)O4)N2CCCC[C@H]13
1691;CCN(CC)C(C)C(=O)N1c2ccccc2Sc2ccccc21
1692;CN1c2ccc(OC(=O)NCCCCCCN3CCCCC3)cc2CN2CCc3ccccc3C21
1693;CNC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)(C)C1N2C
1694;CCCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2C
1695;CCCCCCNc1c2c(nc3ccc(OC)cc13)CCCC2
1696;O=c1oc2cc(OCCCN3CCN(Cc4ccccc4)CC3)ccc2c2c1CCCC2
1697;CN(CCOc1ccc2c3c(c(=O)oc2c1)CCCC3)Cc1ccccc1
1698;CN(CCCOc1ccc2c(c1)oc(=O)c1ccccc12)Cc1ccccc1
1699;Oc1cc2c(cc1O)-c1cc3ccc(O)c(O)c3c[n+]1CC2
1700;CCN(CCCCCCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCCCCCN(CC)Cc1ccccc1OC)C3=O)Cc1ccccc1OC
1701;O=C1N[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)C1OCc1ccccc1
1702;Nc1c2c(nc3cc([N+](=O)[O-])ccc13)-c1ccccc1C2
1703;C(=C\C1CCN(Cc2ccccc2)CC1)\c1noc2ccccc12
1704;COc1cc2c(cc1OC)CC(CC1CCN(CCCNc3c4c(nc5ccccc35)CCCC4)CC1)C2
1705;CCN(CC)c1ccc(/C=C2\Cc3cc(OC)c(OCCN4CCCCC4)cc3C2=O)cc1
1706;c1ccc2c(c1)CN1CCCCCCC1=N2
1707;COc1ccc(CN2CCC(c3cc4ccccc4o3)CC2)cc1OC
1708;COc1ccc(CN2CCC(c3oc4ccccc4c3C(=O)c3ccccc3)CC2)cc1
1709;CCN(CC)CCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1
1710;CCCN(CCC)CCCCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1
1711;CCCCN(CCCC)CCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1
1712;CCN(Cc1ccccc1)Cc1ccc(-c2cc3cc(OCCNC(=O)Cc4cc(F)cc(F)c4)ccc3oc2=O)cc1
1713;Clc1ccc2c(NCCCNCCCCCOc3cccc4[nH]c5ccccc5c34)c3c(nc2c1)CCCC3
1714;COc1ccc2[nH]cc(CCNC(=O)/C=C/c3cc[n+](Cc4cccc(F)c4)cc3)c2c1
1715;COc1ccc2nc3c(c(NCCNC(=O)C4(C)CCc5c(C)c(O)c(C)c(C)c5O4)c2c1)CCCC3
1716;CCCN(C)c1ccc(/C=C2\Cc3cc(OC)c(OCCN4CCCCC4)cc3C2=O)cc1
1717;CN(CCCCCOc1ccc2ccc(=O)oc2c1)Cc1cccc(OC(=O)NCCCCCc2ccccc2)c1
1718;COc1cc2occ(-c3cccc(CN(C)Cc4ccccc4)c3)c(=O)c2cc1OC
1719;COc1cc2cc(-c3ccc(CN(C)Cc4cccc(C)c4)cc3)c(=O)oc2cc1OC
1720;COc1ccc2oc(=O)c(-c3cccc(CN(C)Cc4ccccc4)c3)cc2c1
1721;COc1cc2cc(CC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
1722;O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2
1723;CN(C)C(=O)Oc1ccc(C(O)CNC2CCCCC2)cc1
1724;CN1Cc2cc(O)ccc2N(C)C1c1ccccc1
1725;C=CC[N+](C)(C)c1cccc(O)c1
1726;COc1ccccc1CNCCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCNCc1ccccc1OC
1727;CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C
1728;COc1ccc(C(=O)CCc2ccc([N+](C)(C)C)cc2)cc1OC
1729;COc1cc2cc(C(=O)CC(OC)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC
1730;CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)O/C(=C\c2cc(OC)c(OC)c(OC)c2)C3=O)c1
1731;CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(O)coc3c2)c1
1732;O=C1c2ccccc2C(=O)N1CCCCCCCNCc1ccc(F)cc1
1733;CCN(CCCCCCNC1=C(Cl)C(=O)C(NCCCCCCN(CC)Cc2ccccc2OC)=C(Cl)C1=O)Cc1ccccc1OC
1734;O=C(Cc1c[nH]c2ccc(Br)cc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
1735;CNC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)(C)C1N2C
1736;O=C(CCCCN1CCC2c3ccccc3NC2C1)Nc1ccc(C=C2CCn3c2nc2ccccc2c3=O)cc1
1737;COc1ccccc1CN(C)CCCOc1ccc2c(=O)c3ccccc3oc2c1
1738;COc1cccc2nc3c(c(N)c12)CCCO3
1739;COc1cc(C(=O)NCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC
1740;CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C
1741;COc1cc2c(cc1OC)C(c1ccccc1)N(CCCCCc1ccnc(C=NO)c1O)CC2
1742;CN=C(NCCNCc1ccc(CN2CCCCC2)o1)C(C#N)C#N
1743;Cc1cccc2nc3c(c(N)c12)CCCC3
1744;CO[P@]1(=O)OC[C@H]2COC(=O)C2=C(C)O1
1745;Nc1c2c(nc3c1CCCO3)CCC2
1746;CC(=O)Oc1cc([N+](C)(C)C)ccc1C
1747;CC1=CC2CC(C1)Cc1nc3ccccc3c(N)c12
1748;COc1ccc2cc(C(=O)CN3CCN(Cc4ccccc4)CC3)c(=O)oc2c1
1749;CCCCN1CCCN=C1C=NO
1750;CCN(CCCCCCNC1=CC(=O)C(OC)=CC1=O)Cc1ccccc1OC
1751;CCCCOC(=O)CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O
1752;C[N+](C)(C)CCCl
1753;c1ccc2c(c1)CN1CCCC1=N2
1754;C#CCNC1CCc2ccc(OC(=O)N(C)C3CCCCC3)cc21
1755;CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
1756;CCN(CC)CCSC(=NO)c1nc(Cc2ccccc2)no1
1757;C#CCN(C)[C@H](C)Cc1cccc(OC(=O)N(C)C2CCCCC2)c1
1758;C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCCCCC)c1
1759;CC(=O)c1c(-c2ccc(OCCCCCCCN(C)Cc3ccccc3)cc2)oc2ccccc12
